spl_id;ENV_spl_site;ENV_spl_location;ENV_spl_longitude;ENV_spl_latitude;depth;maerl;time;reserve;fishing_effort;TaxR;TaxE;FunR;FunE;PhyR;PhyE;BIOq;nbsp;densf
CANAL11_1;maerl_42;canal_menorca;3.5458;39.725;60;0.5;2011;0;3;37;14.0765;6.6485;4.1533;22.6667;9.6938;0.949880673;5;0.14652729
CANAL11_6;maerl_43;canal_menorca;3.4907;39.8062;55;0.25;2011;0;0;38;3.0759;6.4194;1.9325;21.6667;2.5526;0.982602116;5;0.07446522
CANAL11_10;maerl_42;canal_menorca;3.553;39.7409;60;0.5;2011;0;2;30;13.9816;4.6391;3.8673;18.8333;9.2719;0.955177752;6;0.27018559
CANAL11_12;maerl_42;canal_menorca;3.5588;39.7315;59;0.5;2011;0;2;31;13.3305;4.7035;3.8782;18.6667;8.6122;0.92857144;4;0.08029899
CANAL11_18;maerl_43;canal_menorca;3.657;39.9798;63;0.25;2011;0;1;38;16.8391;4.4143;1.9181;20;5.5403;0.955595008;5;0.14720769
CANAL11_21;maerl_44;canal_menorca;3.6712;39.9665;59;0.5;2011;0;0;32;21.4335;5.4074;3.1012;19.5;8.601;0.813725491;3;0.10750183
CANAL11_24;maerl_45;canal_menorca;3.7268;39.9715;55;0.5;2011;0;0;26;15.0875;4.9454;4.4173;16.8333;8.0665;0.852140067;2;0.00793664
CANAL11_25;maerl_46;canal_menorca;3.7295;39.9815;60;0.5;2011;0;1;38;21.8183;5.0527;3.1092;21.3333;9.2588;0.871674495;5;0.06331161
CANAL11_27;maerl_47;canal_menorca;4.0885;39.8528;65;0.5;2011;0;2;31;11.5604;5.1521;2.5384;17.5;5.5096;0.874868006;3;1.39360188
CANAL11_32;maerl_48;canal_menorca;3.7472;39.9615;58;0.5;2011;0;2;29;6.1317;6.0634;2.6302;18.6667;4.579;0.953061226;3;0.12570969
CANAL11_35;maerl_49;canal_menorca;3.699;39.949;62;0.5;2011;0;0;37;17.8754;4.6047;1.9722;20.3333;5.8486;0.664879351;7;0.18714437
CANAL11_37;maerl_51;canal_menorca;3.6803;39.941;63;0.25;2011;0;1;37;20.729;3.4901;2.3829;20;7.6268;0.745684692;6;0.31300332
CANAL11_39;maerl_52;canal_menorca;3.7085;39.9252;68;0.25;2011;0;1;45;15.8976;4.7579;2.4716;25.3333;6.3938;0.80403458;5;1.12855143
CANAL11_42;maerl_53;canal_menorca;3.598;39.7952;72;0.5;2011;0;2;49;15.6706;6.3768;3.0429;27;7.2419;0.919745219;4;0.33413864
CANAL11_46;maerl_54;canal_menorca;3.588;39.808;75;0.1;2011;0;0;43;15.9221;6.4717;4.1851;24.6667;9.02;0.898452607;6;0.42580584
CANAL11_47;maerl_55;canal_menorca;3.5692;39.796;65;0.5;2011;0;1;32;4.5707;5.1969;2.4814;19.5;3.6016;0.931796348;3;0.0384877
CANAL11_50;maerl_56;canal_menorca;3.4745;39.8507;68;0.1;2011;0;2;46;12.1783;5.1823;2.3917;23.8333;5.4465;0.929423459;8;0.17548596
CANAL11_54;maerl_57;canal_menorca;3.47425;39.83275;63;0.25;2011;0;0;41;7.463;5.981;1.6279;23.8333;3.4811;0.875206612;7;0.828229
FDR1;maerl_58;cabo_palos;0.6203;37.8422;49.9;0.05;2014;0;2;60;28.4472;7.9062;5.018;31.6667;12.192;1;5;0.020736
FTTR6;maerl_59;cabo_palos;1.0724;37.5325;88.7;0.05;2014;0;2;23;14.9346;7.8037;5.6629;15.6667;9.7564;0.87628866;4;0.006912
FTPR1;maerl_60;cabo_palos;1.0297;37.5402;78.2;0.05;2014;0;2;36;20.1691;7.0926;5.2056;22.5;10.8433;0.910526316;7;0.01458
R1P;maerl_61;medas;3.2335;42.042;50;0.05;2006;0;2;17;11.2535;5.8593;4.0237;10.5;6.5609;0.542168675;3;0.00756
R5P;maerl_62;medas;3.2461;42.0519;50;0.05;2006;0;2;17;5.0877;5.0397;2.3428;12.1667;3.6821;0.782608696;0;0
R1C;maerl_63;medas;3.2297;42.052;45;0.05;2006;1;0;19;4.9419;4.5859;2.4855;12.1667;3.654;1;5;0.00378
R4C;maerl_64;medas;3.2297;42.0466;45;0.05;2006;1;0;18;3.0126;5.2276;1.7557;12;2.206;0.99734748;3;0.00675
CAMAL09_3;maerl_65;canal_menorca;3.4985;39.8245;59;0.1;2009;1;0;24;14.1137;5.8697;4.279;16.5;8.4693;0.719072163;5;0.04523708
CAMAL09_9;maerl_66;canal_menorca;3.5637;39.884;91;0.1;2009;1;0;20;13.3281;6.1409;2.4464;12.1667;5.2864;1;1;0.00817288
CAMAL09_13;maerl_67;canal_menorca;3.6297;40.0103;110;0.1;2009;0;1;26;7.9946;6.0347;3.2456;17.5;6.0949;0.990683233;3;0.02097734
CAMAL09_15;maerl_68;canal_menorca;3.6335;39.91;90;0.1;2009;0;1;26;10.1314;5.9217;1.8762;17;5.2744;0.983498348;1;0.00988932
