spl_id;ENV_Site;ENV_Depth;ENV_Latitude;ENV_Longitude;ENV_Management;No-Take;ENV_Coast_type;ENV_Wave_energy;ENV_Terrace_width;ENV_Substratum_hard;ENV_Rugosity;ENV_Height_vertical;ENV_Coral_live;ENV_Coral_reef_building;BIO_Taxo_Ric;BIO_Taxo_Ent;BIO_Func_Ric;BIO_Func_Ent;BIO_Phyl_Ric;BIO_Phyl_Ent;BIO_qual;ES_totbiom;ES_totbiom_fished
site62_5;62;5;12.16675;-68.299;Marine park;0;Low shore;310;75.6;13.98;1.3155;40;16.78043;37.97032;25;10.8637;4.8632;2.9953;7.6499;2.8369;0.898266615;18808.47215;7764.617495
site63_5;63;5;12.16454;-68.2954;Marine park;0;Low shore;310;159.6;11.45;1.2095;36.58333;11.22975;63.46997;17;6.8214;5.0015;3.3528;6.7468;2.4718;0.785209127;5733.028198;2348.442757
site64_5;64;5;12.1597;-68.2922;Marine park;0;Cliff;370;121.8;12.55;1.5725;41.33333;9.553502;7.319079;27;16.411;5.7445;4.4817;9.303;3.5882;0.833287266;13965.41856;4579.060388
site65_5;65;5;12.15495;-68.2923;Marine park;0;Cliff;310;84;14.565;1.458;26.83333;18.70932;42.65762;23;11.1691;5.0852;3.8182;7.7449;2.7866;0.813497477;13755.4565;8125.930812
site71_5;71;5;12.30951;-68.3928;Marine park;0;Cliff;440;126;10.845;1.12415;25.08333;8.295249;38.46154;14;7.1617;3.6409;2.1002;4.7833;2.1553;0.736935067;5599.82489;2617.342079
site72_5;72;5;12.30724;-68.3967;Marine park;0;Cliff;440;92.4;11.525;1.0705;19.5;1.984879;0;16;6.1793;5.0934;3.313;7.2499;2.9495;0.651860167;16673.43707;3294.106612
site73_5;73;5;12.3035;-68.4002;Marine park;0;Low shore;720;117.6;12.74;1.277;38.83333;23.38657;1.098901;19;10.9386;4.3571;4.0442;6.2863;2.9458;0.641777054;16685.06775;6052.459507
site74_5;74;5;12.30095;-68.4033;Marine park;0;Cliff;720;138.6;10.23;1.1015;24.08333;6.03646;50;22;13.6137;4.6019;3.4478;7.053;3.0385;0.699700636;9935.495475;4094.539611
site75_5;75;5;12.29784;-68.4072;Marine park;0;Cliff;510;117.6;13.025;1.1775;24.5;16.03614;33.33333;18;10.3102;3.88;2.4373;5.4341;2.5746;0.812136529;8763.606166;3359.020563
site76_5;76;5;12.29507;-68.41;Marine park;0;Cliff;510;92.4;10.22;1.21195;15.41667;16.02363;50;22;11.9762;3.6451;2.1325;7.1431;2.6325;0.814608449;13899.38204;6908.505937
site77_5;77;5;12.29148;-68.4125;Marine park;0;Low shore;350;126;11.44;1.15;40.08333;2.521552;52.38095;26;14.1157;5.0129;4.2543;8.1447;3.3084;0.73523696;16074.08728;4830.72985
site78_5;78;5;12.28748;-68.4143;Marine park;0;Cliff;350;117.6;9.1;1.084;5.416667;0.554033;0;17;10.977;4.1535;2.71;6.1395;2.7206;0.702339061;8708.538903;3415.295195
site79_5;79;5;12.28326;-68.4153;Marine park;0;Cliff;340;100.8;9.51;1.201;15.83333;10.32827;50;18;12.0009;3.1379;2.465;5.6302;2.5651;0.651892638;10417.40801;6885.053115
site80_5;80;5;12.27858;-68.4157;Marine park;0;Cliff;340;121.8;6.835;1.568;15.08333;33.48707;47.27444;22;13.1385;5.0682;3.5763;7.1037;3.0908;0.826095955;12001.9611;3702.109914
site81_5;81;5;12.27467;-68.4161;Marine park;0;Cliff;340;84;10.635;1.1905;14.25;6.656587;44.89051;13;8.4161;3.5843;1.8896;5.063;2.2337;0.809934823;4293.330401;2380.16617
site82_5;82;5;12.2702;-68.4153;Marine park;0;Low shore;340;147;14.105;1.1975;18.83333;22.90278;41.99828;22;10.0389;4.0902;3.1818;6.7516;2.7014;0.810165091;12817.35624;4873.928218
site83_5;83;5;12.26613;-68.4151;Marine park;0;Cliff;340;121.8;10.79;1.183;12.41667;11.10477;50;19;10.1044;4.8237;3.053;5.8438;2.556;0.760698038;5881.634308;1931.927008
site84_5;84;5;12.26299;-68.4184;No diving reserve;0;Cliff;340;75.6;14.795;1.2725;12.41667;3.607026;59.61538;19;11.5632;5.0374;3.0921;7.5597;3.5577;0.632595865;12062.73387;5116.883225
site85_5;85;5;12.26012;-68.4209;No diving reserve;0;Cliff;330;58.8;17.89;1.5205;22.83333;7.924832;48.08833;20;10.272;5.2686;1.9486;6.9419;2.195;0.717259568;10862.43515;7249.841317
site86_5;86;5;12.25626;-68.4206;No diving reserve;0;Cliff;330;79.8;18.27;1.4825;42.25;44.42905;29.79642;22;6.7493;4.1253;2.245;5.961;2.2457;0.887510045;15704.36465;4363.308904
