spl_id,ENV_spl_longitude,ENV_spl_latitude,Depth,SST,Chla,Eup,Sal,NPP,Sub,TaxR,TaxE,FunR,FunE,PhyR,PhyE,BIO_qual,TBiom,FBiom
IR_45,-10.244,51.378,116,12.59999361,0.658207834,50.07549286,35.10500072,919.9533691,Coarse_substrate,25,13.3036,5.8393,4.321,8.8947,3.6335,1,173.2161245,102.0367694
IR_46,-10.537,51.132,162,12.76999361,0.316916734,57.97929764,35.31100073,528.9838867,Sand,20,9.7219,5.5823,3.9017,8.0025,3.1636,1,61.62967726,48.13548371
IR_47,-10.234,51.055,131,12.61999361,0.476517588,58.29148483,35.29600073,635.9793091,Sand,21,11.0696,6.2291,4.5507,9.4401,4.0322,1,110.996,58.088
IR_48,-10.029,50.901,139,12.50999362,0.639962554,57.73039627,35.34500073,690.9783325,Sand,23,5.3515,5.7822,2.5725,8.8276,2.2706,1,273.194,239.348
IR_49,-9.645,50.912,122,12.54999362,1.047213674,53.92496872,35.13400072,727.975708,Coarse_substrate,23,3.01,5.7389,2.2558,8.6787,1.8475,1,2190.086646,729.8866463
IR_50,-6.476,51.118,98,12.76999361,0.557749987,53.19916153,35.04300071,659.9570923,Sand,21,3.2691,5.6121,1.7546,7.1192,1.3834,1,3467.22977,3158.45171
IR_51,-6.13,51.189,105,12.94999361,0.534407198,50.55323792,35.14000072,754.9433594,Sandy_mud_or_Muddy_sand,20,3.3741,6.2265,1.9504,8.4086,1.7248,0.999905641,105.978,96.13
IR_52,-5.483,51.239,74,13.3999936,0.735849679,45.00575638,35.28500073,945.9175415,Sand,26,1.3046,6.4198,1.1336,10.6241,1.1687,1,8658.122,8569.994
IR_53,-5.267,51.41,70,13.3199936,1.115817904,33.76551056,35.07700072,854.7070923,Sand,17,3.3484,5.1863,2.2244,7.4672,1.9381,1,202.672,195.434
IR_54,-5.499,51.466,73,13.3299936,1.0556916,37.83415985,35.21800072,684.0162964,Sand,19,3.713,6.8257,2.311,9.3792,2.0144,1,413.528,377.26
IR_55,-5.775,51.404,83,13.2999936,0.520796239,44.02628708,35.28200073,542.8446045,Sand,25,5.1676,5.8245,2.6185,10.25,2.079,1,541.0599883,442.2770466
IR_56,-6.121,51.475,109,13.0699936,0.659921825,45.09104919,35.17500072,502.3335266,Sandy_mud_or_Muddy_sand,21,7.587,6.0965,3.9007,9.7075,3.1026,0.994322112,387.468,319.542
IR_57,-6.355,51.414,111,12.95999361,0.691191137,47.60047913,35.15100072,445.3567505,Sandy_mud_or_Muddy_sand,16,1.9952,5.7342,1.4947,6.1844,1.3611,0.999984294,254.678,253.488
IR_58,-6.501,51.739,71,12.89999361,0.929638505,44.17790222,35.11100072,413.6810913,Muddy_sand,20,4.4907,5.5077,2.7394,9.1182,2.2025,1,1269.369,1158.063
IR_59,-6.207,51.588,116,12.93999361,0.785299838,44.48657608,35.20800072,409.2809753,Sandy_mud_or_Muddy_sand,25,4.6307,6.1412,2.6142,10.8645,2.1454,1,262.328,229.728
IR_60,-5.9,51.736,116,13.1199936,0.830098391,41.49189758,35.21600072,496.6552734,Coarse_substrate,23,2.6379,5.7038,1.3509,9.1266,1.1936,1,2956.06,2922.474
IR_61,-6.076,51.809,111,13.0999936,0.587339699,42.25476456,35.22500072,473.8463135,Coarse_substrate,19,4.4077,4.7952,1.9904,7.0765,1.6351,1,371.566,358.85
IR_62,-6.213,52.016,77,12.88999361,1.116406798,36.58674622,35.03700071,618.2704468,Coarse_substrate,22,6.6425,5.4361,2.606,9.2277,2.1785,1,858.624,658.408
IR_63,-7.271,50.646,107,12.27999362,0.742252946,49.92106247,35.25000072,815.9199829,Sandy_mud_or_Muddy_sand,21,7.3632,6.0421,3.3102,9.3034,2.5022,0.999910445,172.8987064,136.3664483
IR_64,-7.605,50.615,114,12.23999362,0.527906299,48.89819336,35.31800073,724.9401855,Fine_mud,27,5.8634,6.0293,2.918,10.7631,2.214,0.999993416,303.78,286.254
IR_65,-7.843,50.723,107,12.26999362,0.504475772,47.0308876,35.32600073,775.9341431,Fine_mud,24,7.4906,5.1775,3.2075,9.4573,2.4258,1,135.95,103.438
IR_66,-8.024,50.534,118,12.25999362,0.362872362,47.33776474,35.33400073,648.9448853,Fine_mud,20,6.1169,4.9919,3.0474,7.5442,2.6914,1,305.436,272.836
IR_67,-8.192,50.76,112,12.30999362,0.634990633,46.1326561,35.30100073,697.9398193,Sand,19,4.63,5.4919,2.5242,8.4858,2.1408,0.999960915,102.34,93.444
IR_68,-8.506,50.879,116,12.21999362,0.491739661,45.38934326,35.30100073,418.6021118,Fine_mud,27,2.3337,6.0461,1.8523,10.3264,1.6132,0.99999497,795.212,116.878
IR_69,-8.768,51.098,113,12.26999362,0.731991589,44.90314102,35.21000072,462.9898071,Fine_mud,23,5.2263,5.6736,3.2249,8.5182,2.2576,0.999972184,71.902,64.16
IR_70,-8.764,51.261,102,12.27999362,0.627293646,43.66440964,35.20900072,495.5626221,Coarse_substrate,29,8.1715,5.9566,2.6039,10.5195,2.0419,1,341.782,317.442
IR_71,-8.573,51.44,92,12.23999362,0.693648815,43.94131851,35.09600072,461.8369446,Muddy_sand,25,4.138,5.6991,2.8104,9.1751,2.1434,1,714.27,674.316
IR_72,-8.867,51.52,60,11.90999363,1.391005635,38.99982452,34.7890007,642.0888062,Muddy_sand,27,7.6131,6.471,3.8981,10.9709,3.5055,0.999369923,438.042,382.11
IR_73,-9.225,51.291,119,11.96999363,0.635078549,37.69836807,35.16600072,687.9277344,Fine_mud,30,12.2799,6.1543,4.5978,11.7121,3.9622,1,172.554,148.122
IR_74,-9.607,51.112,119,11.90999363,0.474413842,42.09482193,35.15200072,589.7520752,Muddy_sand,25,11.2211,5.6137,4.3447,9.8395,3.4631,1,77.21793103,58.37172414
IR_75,-9.944,51.16,122,11.84999363,0.400151253,43.39692307,35.15700072,539.8921509,Sand,28,4.6409,5.7911,2.2138,10.4908,1.9601,1,1173.371111,1118.737778
IR_76,-10.371,50.544,158,12.24999362,0.338418424,48.97354507,35.47400073,450.7684937,Sand,22,4.54,5.7572,2.9316,9.9248,2.5953,0.999993986,332.544,32.178
IR_77,-10.529,50.726,160,12.30999362,0.325161338,46.62148666,35.42600073,502.8578491,Sand,21,7.2218,5.2305,3.0892,8.686,3.2788,1,135.596,42.378
IR_78,-10.838,50.844,173,12.47999362,0.18925941,52.2259903,35.36700073,396.6785889,Sand,27,2.3469,6.4137,1.9413,12.0154,1.6706,1,3905.078,3133.026
IR_79,-10.931,50.552,287,12.67999361,0.228721425,54.5974617,35.43600073,373.8082275,Seabed,21,5.0875,6.2753,2.7809,9.1039,2.2214,1,199.977931,171.2110345
IR_80,-11.091,50.281,507,12.74999361,0.274909288,55.07806396,35.39900073,344.6324158,Seabed,25,5.4794,5.4265,2.581,10.5611,2.7186,0.999949235,295.478,191.65575
IR_81,-11.185,50.946,244,12.39999362,0.158107415,68.21603394,35.40200073,182.2859497,Sandy_mud,24,3.8428,5.9873,2.3064,10.0438,2.2446,1,733.066,656.298
IR_82,-10.743,51.227,164,11.88999363,0.207171693,54.99364471,35.13600072,252.5596771,Sand,22,11.7711,5.8582,3.9648,9.3406,3.5109,1,72.82,51.358
